age,metric,td_n,sli_n,td_mean,sli_mean,difference,t_statistic,p_value,cohen_d
5,Clustering Coefficient,50,9,0.4315156008185154,0.49227943544054575,-0.06076383462203033,-2.501879487845159,0.01524823251507641,-0.863964050892
5,Average Path Length,50,9,3.72462509464781,2.167832038178045,1.5567930564697652,2.4390202652381143,0.01786410194280498,0.8432189380748686
5,Network Density,50,9,0.027668990581510507,0.044221269009012396,-0.016552278427501888,-3.8589521896123395,0.0002926597616973035,-1.0843922885974342
5,Degree Centrality,50,9,0.027668990581510507,0.04422126900901241,-0.016552278427501902,-3.8589521896123427,0.00029265976169730063,-1.084392288597435
5,Transitivity,50,9,0.89991170199571,0.8981654710816258,0.0017462309140842125,0.14446460604559477,0.8856431893824966,0.05857381079033566
6,Clustering Coefficient,99,33,0.44193380751076283,0.4762514094565465,-0.03431760194578365,-2.617875493038998,0.009897743759234134,-0.5055539521357633
6,Average Path Length,99,33,3.9839011161076456,3.5515214032147004,0.4323797128929452,1.401109191901318,0.16356410804688284,0.29784769164931163
6,Network Density,99,33,0.026984676898531124,0.04028620616667095,-0.01330152926813983,-5.365708977464765,3.5793903956134874e-07,-0.9065363524711445
6,Degree Centrality,99,33,0.02698467689853112,0.040286206166670946,-0.013301529268139826,-5.365708977464766,3.579390395613442e-07,-0.9065363524711446
6,Transitivity,99,33,0.8925194524598224,0.8809998939960385,0.011519558463783941,1.3569141810087602,0.17715991366138556,0.27274553413154534
7,Clustering Coefficient,100,50,0.4228689432102341,0.4541489570343697,-0.03128001382413559,-3.134041385061861,0.0020793691934989844,-0.5386478573123741
7,Average Path Length,100,50,4.619056691186452,4.101068732679511,0.5179879585069402,1.9054689333568628,0.05865836459516431,0.3198016458821254
7,Network Density,100,50,0.02182957165888897,0.027313510712844952,-0.005483939053955982,-4.442906412431184,1.7281082611182265e-05,-0.7614641277346252
7,Degree Centrality,100,50,0.02182957165888897,0.027313510712844952,-0.005483939053955982,-4.442906412431183,1.7281082611182366e-05,-0.761464127734625
7,Transitivity,100,50,0.8938215015538964,0.8961459548552883,-0.00232445330139186,-0.3453878394216908,0.7302932275064065,-0.06027112322863119
8,Clustering Coefficient,100,33,0.4320654860057217,0.4517530919310951,-0.019687605925373386,-1.8107032830387069,0.07247845123712437,-0.3621545141848973
8,Average Path Length,100,33,4.791122858903641,3.8168856484382196,0.9742372104654216,3.106985071962846,0.002317998825572468,0.6076676342129047
8,Network Density,100,33,0.020367136148427476,0.02739882666210732,-0.007031690513679845,-4.538317515982526,1.2686164053603632e-05,-0.8851776133864182
8,Degree Centrality,100,33,0.020367136148427476,0.027398826662107325,-0.007031690513679849,-4.538317515982528,1.2686164053603539e-05,-0.8851776133864184
8,Transitivity,100,33,0.8961588656839455,0.8921029948449397,0.004055870839005826,0.5055561761869265,0.6140178363669201,0.09718364982562226
9,Clustering Coefficient,45,24,0.43242579984245155,0.45874790851473995,-0.026322108672288402,-1.8907546529975021,0.06298223705825494,-0.4487283061370341
9,Average Path Length,45,24,5.430014101371486,5.012240903933861,0.41777319743762487,1.0565717460778306,0.29450195357554737,0.25341439560530193
9,Network Density,45,24,0.018991348207161626,0.0273780400347239,-0.008386691827562274,-3.989417554853752,0.00016653724288914605,-0.8881376832653286
9,Degree Centrality,45,24,0.01899134820716163,0.0273780400347239,-0.00838669182756227,-3.9894175548537505,0.00016653724288914691,-0.8881376832653283
9,Transitivity,45,24,0.905117608583423,0.8983335178149977,0.006784090768425344,0.9813779102487856,0.3299369650182211,0.24106086605847818
10,Clustering Coefficient,51,21,0.4229939803986193,0.44365719141308385,-0.020663211014464555,-1.7206329580234283,0.08973529657968254,-0.4284020592659189
10,Average Path Length,51,21,5.351595914430593,4.323417318947234,1.028178595483359,3.1243858311037225,0.0025925230048846524,0.7833207544645143
10,Network Density,51,21,0.016874349620745376,0.024266859090870303,-0.007392509470124927,-4.023721889379946,0.0001429744596627026,-0.9503137425010107
10,Degree Centrality,51,21,0.016874349620745376,0.024266859090870303,-0.007392509470124927,-4.023721889379946,0.0001429744596627026,-0.9503137425010107
10,Transitivity,51,21,0.8945492527570189,0.8990624134441438,-0.004513160687124929,-0.5336353700589239,0.5952843206641096,-0.137346948281036
